Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId
"31228523","20824558","2","It is not required. It's just a choice.","2013-12-29 11:16:07","","1835884"
"33513172","3047056","3","I anticipated this question. +1 for this.","2014-02-28 12:35:49","","2758467"
"20401901","11757537","3","Chris Coyier's also has some good solutions to this: http://css-tricks.com/perfect-full-page-background-image/","2013-01-30 18:17:05","","247306"
"52703577","5767325","7","[filter method](http://stackoverflow.com/a/21688894/1090562) can do what you want.","2015-09-05 23:43:21","","1090562"
"24696081","17073808","0","You've used SVN, which can't do this either.","2013-06-12 21:31:42","","814145"
"25675497","9461621","2","see http://stackoverflow.com/questions/17633462/format-a-javascript-number-with-a-metric-prefix-like-1-5k-1m-1g-etc","2013-07-13 20:48:56","","931545"
"27690455","5767325","89","If you need to support **<IE9** (*sigh*) then check [this SO question](http://stackoverflow.com/questions/3629183/why-doesnt-indexof-work-on-an-array-ie8) regarding `indexOf` in IE.","2013-09-13 07:48:49","","1123275"
"58146672","1986386","3","use the [.include? method](http://ruby-doc.org/core-2.2.0/Array.html#method-i-include-3F). It returns a boolean which is what you want. In your case just type: ['Cat', 'Dog', 'Bird'].include('Dog') and it should return the boolean true.","2016-02-05 03:20:57","","2714301"
"11970787","9461621","0","Do you also need `M` and `G`?","2012-02-27 07:59:13","","87015"
"11970988","9461621","0","I will need M yes...Can you help?","2012-02-27 08:13:30","","416056"
"43857508","27722872","0","Set a padding to the container, it will make it larger depending on how much text is added.  For example: padding: 4px 10px;  So in your case, remove the width from your <a> selector and add the padding.","2014-12-31 15:11:44","","4245700"
"77158601","1186400","0","Possible duplicate of [How can I set default values in ActiveRecord?](https://stackoverflow.com/questions/328525/how-can-i-set-default-values-in-activerecord)","2017-07-14 00:49:20","","1445184"
"79041916","46040733","0","create an external div before the p tag and give it a className of .myComp","2017-09-04 16:07:32","","5381735"
"79041941","46040733","0","Is this the only solution? I hoped I wouldn't have to create enclosing div elements for all my components","2017-09-04 16:08:24","","1823368"
"31785516","1186400","0","Since the accepted and most answers focus on ActiveRecords, we assume the the original question was about AcitveRecords. Therefore possible duplicate of http://stackoverflow.com/questions/328525/how-can-i-set-default-values-in-activerecord","2014-01-14 20:51:31","","895245"
"1648514","1764483","0","Nice question - interested to see what the answers are.  Of course, the tables should be called User and Role (not pluralised), but that's a whole nother argument :)","2009-11-19 16:16:43","","1853"
"2349119","2373074","2","Related: http://stackoverflow.com/questions/273354/html-single-quotes-a-problem and http://stackoverflow.com/questions/242766/when-did-single-quotes-in-html-become-so-popular.","2010-03-03 16:45:46","","58792"
"35734818","23336359","0","Are you interested in jQuery solution?","2014-04-28 08:45:40","","2666313"
"35734855","23336359","0","If you can explain how i implement that in my situation, sure!","2014-04-28 08:46:46","","2339525"
